id,host_id,name,description,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,minimum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,month,price_per_person,log_price,log_price_per_person,total_reviews
14575138,37267657,Extra Large room minutes away from Manhattan,"My place is close to C-Town Supermarkets Banks Coffee Shops Laundromats Parking Garage Parks. Youll love my place because of the coziness, the high ceilings, the location, the views, and the people. My place is good for solo adventurers and business travelers.",0,Highbridge,40.83393,-73.92499,Private room in rental unit,Private room,1,1.0,1,1,"air conditioning, bathtub, bed linens, carbon monoxide alarm, cleaning products, clothing storage: dresser, dishes and silverware, elevator, essentials, ethernet connection, free street parking, gas stove, hair dryer, hangers, heating, host greets you, hot water, iron, kitchen, laundromat nearby, lock on bedroom door, microwave, paid parking off premises, park view, refrigerator, smoke alarm, wifi",30,4.7,4.5,4.5,4.7,4.9,4.6,4.4,68.0,5,68.0,4.23410650459726,4.23410650459726,10
46050040,514261,"Sunny, spacious Park Slope BR in 4BR duplex w/deck","1 spacious, private sunny BR (13' x 12') with queen size bed in our beautiful *shared* Park Slope duplex (2 floors) apartment on a tree-lined street.  Large deck with dining table and sectional couch.  100-year old wood-shingled 4-story home. Near F, N/R, Prospect Park and easy access to Manhattan.",1,South Slope,40.66708,-73.98754,Private room in home,Private room,2,2.0,1,0,"air conditioning, carbon monoxide alarm, cooking basics, dishes and silverware, essentials, fire extinguisher, hair dryer, hangers, heating, hot water, iron, kitchen, lock on bedroom door, lockbox, outdoor furniture, patio or balcony, self check-in, smoke alarm, wifi",30,4.55,4.55,4.0,4.64,4.64,4.82,4.18,75.0,5,37.5,4.330733340286331,3.6506582412937387,13
14575138,37267657,Extra Large room minutes away from Manhattan,"My place is close to C-Town Supermarkets Banks Coffee Shops Laundromats Parking Garage Parks. Youll love my place because of the coziness, the high ceilings, the location, the views, and the people. My place is good for solo adventurers and business travelers.",0,Highbridge,40.83393,-73.92499,Private room in rental unit,Private room,1,1.0,1,1,"air conditioning, bathtub, bed linens, carbon monoxide alarm, cleaning products, clothing storage: dresser, dishes and silverware, elevator, essentials, ethernet connection, free street parking, gas stove, hair dryer, hangers, heating, host greets you, hot water, iron, kitchen, laundromat nearby, lock on bedroom door, microwave, paid parking off premises, park view, refrigerator, smoke alarm, wifi",30,4.7,4.5,4.5,4.7,4.9,4.6,4.4,51.0,6,51.0,3.9512437185814275,3.9512437185814275,10
46050040,514261,"Sunny, spacious Park Slope BR in 4BR duplex w/deck","1 spacious, private sunny BR (13' x 12') with queen size bed in our beautiful *shared* Park Slope duplex (2 floors) apartment on a tree-lined street.  Large deck with dining table and sectional couch.  100-year old wood-shingled 4-story home. Near F, N/R, Prospect Park and easy access to Manhattan.",1,South Slope,40.66708,-73.98754,Private room in home,Private room,2,2.0,1,0,"air conditioning, carbon monoxide alarm, cooking basics, dishes and silverware, essentials, fire extinguisher, hair dryer, hangers, heating, hot water, iron, kitchen, lock on bedroom door, lockbox, outdoor furniture, patio or balcony, self check-in, smoke alarm, wifi",30,4.42,4.5,3.83,4.67,4.67,4.67,4.08,75.0,6,37.5,4.330733340286331,3.6506582412937387,13
14575138,37267657,Extra Large room minutes away from Manhattan,"My place is close to C-Town Supermarkets Banks Coffee Shops Laundromats Parking Garage Parks. Youll love my place because of the coziness, the high ceilings, the location, the views, and the people. My place is good for solo adventurers and business travelers.",0,Highbridge,40.83393,-73.92499,Private room in rental unit,Private room,1,1.0,1,1,"air conditioning, bathtub, bed linens, carbon monoxide alarm, cleaning products, clothing storage: dresser, dishes and silverware, elevator, essentials, ethernet connection, free street parking, gas stove, hair dryer, hangers, heating, host greets you, hot water, iron, kitchen, laundromat nearby, lock on bedroom door, microwave, paid parking off premises, park view, refrigerator, smoke alarm, wifi",30,4.7,4.5,4.5,4.7,4.9,4.6,4.4,73.0,7,73.0,4.30406509320417,4.30406509320417,10
46050040,514261,"Sunny, spacious Park Slope BR in 4BR duplex w/deck","1 spacious, private sunny BR (13' x 12') with queen size bed in our beautiful *shared* Park Slope duplex (2 floors) apartment on a tree-lined street.  Large deck with dining table and sectional couch.  100-year old wood-shingled 4-story home. Near F, N/R, Prospect Park and easy access to Manhattan.",1,South Slope,40.66708,-73.98754,Private room in home,Private room,2,2.0,1,0,"air conditioning, carbon monoxide alarm, cooking basics, dishes and silverware, essentials, fire extinguisher, hair dryer, hangers, heating, hot water, iron, kitchen, lock on bedroom door, lockbox, outdoor furniture, patio or balcony, self check-in, smoke alarm, wifi",30,4.42,4.5,3.83,4.67,4.67,4.67,4.08,75.0,7,37.5,4.330733340286331,3.6506582412937387,13
14575138,37267657,Extra Large room minutes away from Manhattan,"My place is close to C-Town Supermarkets Banks Coffee Shops Laundromats Parking Garage Parks. Youll love my place because of the coziness, the high ceilings, the location, the views, and the people. My place is good for solo adventurers and business travelers.",0,Highbridge,40.83393,-73.92499,Private room in rental unit,Private room,1,1.0,1,1,"air conditioning, bathtub, bed linens, carbon monoxide alarm, cleaning products, clothing storage: dresser, dishes and silverware, elevator, essentials, ethernet connection, free street parking, gas stove, hair dryer, hangers, heating, host greets you, hot water, iron, kitchen, laundromat nearby, lock on bedroom door, microwave, paid parking off premises, park view, refrigerator, smoke alarm, wifi",30,4.7,4.5,4.5,4.7,4.9,4.6,4.4,51.0,8,51.0,3.9512437185814275,3.9512437185814275,10
46050040,514261,"Sunny, spacious Park Slope BR in 4BR duplex w/deck","1 spacious, private sunny BR (13' x 12') with queen size bed in our beautiful *shared* Park Slope duplex (2 floors) apartment on a tree-lined street.  Large deck with dining table and sectional couch.  100-year old wood-shingled 4-story home. Near F, N/R, Prospect Park and easy access to Manhattan.",0,South Slope,40.66708,-73.98754,Private room in home,Private room,2,2.0,1,0,"air conditioning, carbon monoxide alarm, cooking basics, dishes and silverware, essentials, fire extinguisher, hair dryer, hangers, heating, hot water, iron, kitchen, lock on bedroom door, lockbox, outdoor furniture, patio or balcony, self check-in, smoke alarm, wifi",30,4.42,4.5,3.83,4.67,4.67,4.67,4.08,75.0,8,37.5,4.330733340286331,3.6506582412937387,13
46050040,514261,"Sunny, spacious Park Slope BR in 4BR duplex w/deck","1 spacious, private sunny BR (13' x 12') with queen size bed in our beautiful *shared* Park Slope duplex (2 floors) apartment on a tree-lined street.  Large deck with dining table and sectional couch.  100-year old wood-shingled 4-story home. Near F, N/R, Prospect Park and easy access to Manhattan.",0,South Slope,40.66708,-73.98754,Private room in home,Private room,2,2.0,1,0,"air conditioning, carbon monoxide alarm, cooking basics, dishes and silverware, essentials, fire extinguisher, hair dryer, hangers, heating, hot water, iron, kitchen, lock on bedroom door, lockbox, outdoor furniture, patio or balcony, self check-in, smoke alarm, wifi",30,4.31,4.46,3.77,4.69,4.69,4.69,4.0,75.0,9,37.5,4.330733340286331,3.6506582412937387,13
14575138,37267657,Extra Large room minutes away from Manhattan,"My place is close to C-Town Supermarkets Banks Coffee Shops Laundromats Parking Garage Parks. Youll love my place because of the coziness, the high ceilings, the location, the views, and the people. My place is good for solo adventurers and business travelers.",0,Highbridge,40.83393,-73.92499,Private room in rental unit,Private room,1,1.0,1,1,"air conditioning, bathtub, bed linens, carbon monoxide alarm, cleaning products, clothing storage: dresser, dishes and silverware, elevator, essentials, ethernet connection, free street parking, gas stove, hair dryer, hangers, heating, host greets you, hot water, iron, kitchen, laundromat nearby, lock on bedroom door, microwave, paid parking off premises, park view, refrigerator, smoke alarm, wifi",30,4.7,4.5,4.5,4.7,4.9,4.6,4.4,52.0,10,52.0,3.970291913552122,3.970291913552122,10
46050040,514261,"Sunny, spacious Park Slope BR in 4BR duplex w/deck","1 spacious, private sunny BR (13' x 12') with queen size bed in our beautiful *shared* Park Slope duplex (2 floors) apartment on a tree-lined street.  Large deck with dining table and sectional couch.  100-year old wood-shingled 4-story home. Near F, N/R, Prospect Park and easy access to Manhattan.",0,South Slope,40.66708,-73.98754,Private room in home,Private room,2,2.0,1,0,"air conditioning, carbon monoxide alarm, cooking basics, dishes and silverware, essentials, fire extinguisher, hair dryer, hangers, heating, hot water, iron, kitchen, lock on bedroom door, lockbox, outdoor furniture, patio or balcony, self check-in, smoke alarm, wifi",30,4.31,4.46,3.77,4.69,4.69,4.69,4.0,75.0,10,37.5,4.330733340286331,3.6506582412937387,13
